Monitoring Session Started: 2026-04-28 13:09:38.893553
Timestamp            | PID        | Process Name              | CPU %      | Mem (MB)  
2026-04-28 13:09:48  | 1220       | python.exe                | 1.20       | 18.21     
2026-04-28 13:09:48  | 1520       | svchost.exe               | 0.60       | 15.60     
2026-04-28 13:09:48  | 1572       | svchost.exe               | 0.60       | 8.04      
2026-04-28 13:09:48  | 1580       | svchost.exe               | 0.60       | 19.71     
2026-04-28 13:09:48  | 1780       | svchost.exe               | 0.60       | 18.91     
2026-04-28 13:09:48  | 2316       | svchost.exe               | 0.60       | 23.54     
2026-04-28 13:09:48  | 2472       | SecurityHealthSystray.exe | 1.20       | 13.12     
2026-04-28 13:09:48  | 2524       | svchost.exe               | 2.50       | 23.68     
2026-04-28 13:09:48  | 2888       | svchost.exe               | 1.20       | 46.05     
2026-04-28 13:09:48  | 3220       | svchost.exe               | 6.20       | 21.77     
2026-04-28 13:09:48  | 3260       | MsMpEng.exe               | 61.50      | 273.20    
2026-04-28 13:09:48  | !!! ALERT: High Defender Activity detected (Scan in progress) !!!
2026-04-28 13:09:48  | 3384       | ApplicationFrameHost.exe  | 6.30       | 47.82     
2026-04-28 13:09:48  | 3912       | WmiPrvSE.exe              | 1.90       | 28.01     
2026-04-28 13:09:48  | 4288       | svchost.exe               | 1.90       | 25.55     
2026-04-28 13:09:48  | 4852       | svchost.exe               | 1.90       | 19.56     
2026-04-28 13:09:48  | 5060       | sihost.exe                | 1.80       | 50.15     
2026-04-28 13:09:48  | 5200       | explorer.exe              | 15.30      | 295.54    
2026-04-28 13:09:48  | 6512       | SecurityHealthService.exe | 28.80      | 28.56     
2026-04-28 13:09:48  | 7716       | smartscreen.exe           | 1.20       | 12.96     
2026-04-28 13:09:48  | 7848       | Code.exe                  | 32.20      | 90.82     
2026-04-28 13:09:48  | 8120       | msedgewebview2.exe        | 0.60       | 102.23    
2026-04-28 13:09:48  | 8232       | TextInputHost.exe         | 1.20       | 119.21    
2026-04-28 13:09:48  | 8256       | ctfmon.exe                | 1.20       | 32.78     
2026-04-28 13:09:48  | 9548       | Code.exe                  | 2.50       | 137.55    
2026-04-28 13:09:48  | 10096      | Code.exe                  | 1.30       | 129.62    
2026-04-28 13:09:48  | 10136      | Code.exe                  | 12.00      | 294.30    
2026-04-28 13:09:48  | 10888      | ProtonVPN.Client.exe      | 0.60       | 346.19    
2026-04-28 13:09:48  | 11508      | powershell.exe            | 0.70       | 69.70     
2026-04-28 13:09:48  | 11528      | Notepad.exe               | 0.70       | 101.88    
2026-04-28 13:09:48  | 11600      | ShellExperienceHost.exe   | 2.70       | 98.49     
2026-04-28 13:09:48  | 11712      | svchost.exe               | 0.70       | 13.73     
2026-04-28 13:09:48  | 12488      | svchost.exe               | 0.70       | 10.14     
2026-04-28 13:09:51  | 0          | System Idle Process       | 215.40     | 0.01      
2026-04-28 13:09:51  | 4          | System                    | 6.90       | 0.16      
2026-04-28 13:09:51  | 836        | services.exe              | 0.70       | 10.73     
2026-04-28 13:09:51  | 1088       | dwm.exe                   | 15.80      | 112.43    
2026-04-28 13:09:51  | 1220       | python.exe                | 2.10       | 18.23     
2026-04-28 13:09:51  | 1740       | powershell.exe            | 0.70       | 68.03     
2026-04-28 13:09:51  | 1780       | svchost.exe               | 0.70       | 18.54     
2026-04-28 13:09:51  | 3220       | svchost.exe               | 0.70       | 22.30     
2026-04-28 13:09:51  | 3260       | MsMpEng.exe               | 84.20      | 266.84    
2026-04-28 13:09:51  | !!! ALERT: High Defender Activity detected (Scan in progress) !!!
2026-04-28 13:09:51  | 5200       | explorer.exe              | 0.70       | 295.22    
2026-04-28 13:09:51  | 6512       | SecurityHealthService.exe | 0.70       | 28.32     
2026-04-28 13:09:51  | 7848       | Code.exe                  | 17.50      | 90.82     
2026-04-28 13:09:51  | 9548       | Code.exe                  | 5.10       | 137.25    
2026-04-28 13:09:51  | 10096      | Code.exe                  | 1.40       | 129.77    
2026-04-28 13:09:51  | 10136      | Code.exe                  | 6.50       | 287.96    
2026-04-28 13:09:51  | 10624      | SecHealthUI.exe           | 3.60       | 89.84     
2026-04-28 13:09:51  | 10888      | ProtonVPN.Client.exe      | 3.60       | 346.19    
2026-04-28 13:09:51  | 11180      | vmtoolsd.exe              | 0.70       | 21.86     
2026-04-28 13:09:53  | 0          | System Idle Process       | 240.10     | 0.01      
2026-04-28 13:09:53  | 4          | System                    | 10.80      | 0.16      
2026-04-28 13:09:53  | 1088       | dwm.exe                   | 6.50       | 111.95    
2026-04-28 13:09:53  | 1220       | python.exe                | 2.20       | 18.23     
2026-04-28 13:09:53  | 3260       | MsMpEng.exe               | 92.50      | 266.82    
2026-04-28 13:09:53  | !!! ALERT: High Defender Activity detected (Scan in progress) !!!
2026-04-28 13:09:53  | 3612       | vm3dservice.exe           | 0.70       | 9.55      
2026-04-28 13:09:53  | 5200       | explorer.exe              | 0.70       | 295.22    
2026-04-28 13:09:53  | 7848       | Code.exe                  | 8.70       | 90.84     
2026-04-28 13:09:53  | 9548       | Code.exe                  | 5.90       | 137.59    
2026-04-28 13:09:53  | 10136      | Code.exe                  | 10.30      | 288.90    
2026-04-28 13:09:53  | 10624      | SecHealthUI.exe           | 2.20       | 90.34     
2026-04-28 13:09:53  | 10888      | ProtonVPN.Client.exe      | 2.20       | 346.19    
2026-04-28 13:09:55  | 0          | System Idle Process       | 212.60     | 0.01      
2026-04-28 13:09:55  | 4          | System                    | 14.00      | 0.16      
2026-04-28 13:09:55  | 548        | ProtonVPNService.exe      | 0.70       | 245.51    
2026-04-28 13:09:55  | 1088       | dwm.exe                   | 16.90      | 112.00    
2026-04-28 13:09:55  | 1220       | python.exe                | 1.50       | 18.23     
2026-04-28 13:09:55  | 2180       | svchost.exe               | 0.70       | 18.01     
2026-04-28 13:09:55  | 3260       | MsMpEng.exe               | 78.30      | 266.88    
2026-04-28 13:09:55  | !!! ALERT: High Defender Activity detected (Scan in progress) !!!
2026-04-28 13:09:55  | 6740       | Code.exe                  | 0.70       | 192.38    
2026-04-28 13:09:55  | 7848       | Code.exe                  | 22.60      | 90.85     
2026-04-28 13:09:55  | 9548       | Code.exe                  | 7.70       | 138.25    
2026-04-28 13:09:55  | 10096      | Code.exe                  | 0.70       | 129.05    
2026-04-28 13:09:55  | 10136      | Code.exe                  | 9.80       | 290.32    
2026-04-28 13:09:55  | 10624      | SecHealthUI.exe           | 9.80       | 93.91     
2026-04-28 13:09:55  | 10888      | ProtonVPN.Client.exe      | 3.50       | 346.19    
2026-04-28 13:09:55  | 11180      | vmtoolsd.exe              | 0.70       | 21.85     
2026-04-28 13:09:55  | 11528      | Notepad.exe               | 0.70       | 101.88    
2026-04-28 13:09:57  | 0          | System Idle Process       | 227.80     | 0.01      
2026-04-28 13:09:57  | 4          | System                    | 9.00       | 0.16      
2026-04-28 13:09:57  | 548        | ProtonVPNService.exe      | 0.70       | 245.51    
2026-04-28 13:09:57  | 836        | services.exe              | 0.70       | 10.80     
2026-04-28 13:09:57  | 992        | svchost.exe               | 0.70       | 36.01     
2026-04-28 13:09:57  | 1088       | dwm.exe                   | 3.50       | 111.99    
2026-04-28 13:09:57  | 1220       | python.exe                | 2.10       | 18.23     
2026-04-28 13:09:57  | 1284       | svchost.exe               | 0.70       | 15.08     
2026-04-28 13:09:57  | 1580       | svchost.exe               | 0.70       | 19.70     
2026-04-28 13:09:57  | 1780       | svchost.exe               | 0.70       | 18.32     
2026-04-28 13:09:57  | 1968       | MemCompression            | 1.40       | 75.95     
2026-04-28 13:09:57  | 2076       | svchost.exe               | 0.70       | 11.04     
2026-04-28 13:09:57  | 3260       | MsMpEng.exe               | 84.40      | 267.29    
2026-04-28 13:09:57  | !!! ALERT: High Defender Activity detected (Scan in progress) !!!
2026-04-28 13:09:57  | 4052       | Code.exe                  | 2.90       | 397.38    
2026-04-28 13:09:57  | 6740       | Code.exe                  | 0.70       | 192.39    
2026-04-28 13:09:57  | 7848       | Code.exe                  | 14.40      | 90.85     
2026-04-28 13:09:57  | 9548       | Code.exe                  | 1.40       | 138.47    
2026-04-28 13:09:57  | 10096      | Code.exe                  | 0.70       | 129.23    
2026-04-28 13:09:57  | 10136      | Code.exe                  | 2.90       | 292.21    
2026-04-28 13:09:57  | 10888      | ProtonVPN.Client.exe      | 8.00       | 346.19    
2026-04-28 13:09:57  | 11180      | vmtoolsd.exe              | 0.70       | 21.85     
2026-04-28 13:09:57  | 11288      | msedge.exe                | 0.70       | 156.69    
2026-04-28 13:09:59  | 0          | System Idle Process       | 213.60     | 0.01      
2026-04-28 13:09:59  | 4          | System                    | 12.30      | 0.16      
2026-04-28 13:09:59  | 548        | ProtonVPNService.exe      | 0.70       | 245.51    
2026-04-28 13:09:59  | 700        | csrss.exe                 | 0.70       | 19.42     
2026-04-28 13:09:59  | 1088       | dwm.exe                   | 9.40       | 112.29    
2026-04-28 13:09:59  | 1220       | python.exe                | 2.20       | 18.23     
2026-04-28 13:09:59  | 1320       | OpenConsole.exe           | 0.70       | 10.97     
2026-04-28 13:09:59  | 1680       | svchost.exe               | 0.70       | 21.11     
